Airline,Flight Number,Departure City,Departure Time,Arrival City,Arrival Time,Duration,Stops,Fare Type,Fare Price,Cancellation Policy,Date Change Policy,Seat Selection,Checked Baggage,Hand Baggage,Meal,Scraped At
IndiGo,6E-6167/6E-6489,Hyderabad(HYD),19:20,New Delhi(DEL),00:55,5h 35m,Not Available,Super 6E,26009,Yes,Yes,"Standard: FREE
XL seats: FREE",20 Kg,7 Kgs,Complimentary,2025-11-26 16:15:13.761756
IndiGo,6E-6167/6E-6489,Hyderabad(HYD),19:20,New Delhi(DEL),00:55,5h 35m,Not Available,Unknown,Not Available,No,No,Not Available,Not Available,Not Available,Not Available,2025-11-26 16:15:13.774586
AirIndia Express,IX-2948/IX-1198,Hyderabad(HYD),06:05,New Delhi(DEL),12:20,6h 15m,Not Available,Value,22917,Yes,Yes,"Standard: Chargeable
Prime: Chargeable",15 Kgs,7 Kgs,"Hot Meal: Chargeable
Lite Bite: Chargeable",2025-11-26 16:15:14.964127
AirIndia Express,IX-2948/IX-1198,Hyderabad(HYD),06:05,New Delhi(DEL),12:20,6h 15m,Not Available,Classic,23547,Yes,Yes,"Standard: Chargeable
Prime: Chargeable",15 Kgs,7 Kgs,"Hot Meal: Chargeable
Lite Bite: Free",2025-11-26 16:15:15.029326
AirIndia Express,IX-2948/IX-1198,Hyderabad(HYD),06:05,New Delhi(DEL),12:20,6h 15m,Not Available,Flex,24387,Yes,Yes,"Standard: Chargeable
Prime: Chargeable",20 Kgs,7 Kgs,"Hot Meal: Chargeable
Lite Bite: Free",2025-11-26 16:15:15.094424
AirIndia Express,IX-2948/IX-1198,Hyderabad(HYD),06:05,New Delhi(DEL),12:20,6h 15m,Not Available,Unknown,Not Available,No,No,Not Available,Not Available,Not Available,Not Available,2025-11-26 16:15:15.106429
IndiGo,6E-285/6E-6813,Hyderabad(HYD),20:15,New Delhi(DEL),02:25,6h 10m,Not Available,Saver Fare,23780,Yes,Yes,"Standard: Chargeable
XL seats: Chargeable",15 Kgs,7 Kgs,Chargeable,2025-11-26 16:15:16.302750
IndiGo,6E-285/6E-6813,Hyderabad(HYD),20:15,New Delhi(DEL),02:25,6h 10m,Not Available,Flexi Plus,26639,Yes,Yes,"Standard: FREE
XL seats: Chargeable",15 Kgs,7 Kgs,Complimentary,2025-11-26 16:15:16.367392
IndiGo,6E-285/6E-6813,Hyderabad(HYD),20:15,New Delhi(DEL),02:25,6h 10m,Not Available,Super 6E,29392,Yes,Yes,"Standard: FREE
XL seats: FREE",20 Kg,7 Kgs,Complimentary,2025-11-26 16:15:16.433432
IndiGo,6E-285/6E-6813,Hyderabad(HYD),20:15,New Delhi(DEL),02:25,6h 10m,Not Available,Unknown,Not Available,No,No,Not Available,Not Available,Not Available,Not Available,2025-11-26 16:15:16.445550
